YEAR,MO,DY,HR,T2M,PRECTOTCORR,QV2M,WS10M,ALLSKY_SRF_ALB
2016,1,7,13,32.45,0,5.68,1.47,0.1
2016,1,7,14,32.33,0,5.68,1.63,0.09
2016,1,7,15,31.69,0,5.62,1.66,0.05
2016,1,7,16,30.05,0,5.55,1.44,0.17
2016,1,7,17,26.72,0,5.55,1.78,0.18
2016,1,7,18,24.62,0,5.55,2.34,-999
2016,1,7,19,23.03,0,5.49,2.88,-999
2016,1,7,20,22.06,0,5.43,3.19,-999
2016,1,7,21,21.35,0,5.37,3.35,-999
2016,1,7,22,20.64,0,5.37,3.52,-999
2016,1,7,23,19.87,0,5.43,3.6,-999
2016,1,8,0,19.07,0,5.55,3.57,-999
2016,1,8,1,18.28,0,5.68,3.49,-999
2016,1,8,2,17.62,0,5.8,3.48,-999
2016,1,8,3,17.05,0,5.92,3.48,-999
2016,1,8,4,16.44,0,5.98,3.35,-999
2016,1,8,5,15.91,0,6.1,3.25,-999
2016,1,8,6,15.33,0,6.16,2.91,-999
2016,1,8,7,16.81,0,6.16,3.81,0.18
2016,1,8,8,19.51,0,6.23,2.97,0.11
2016,1,8,9,24.12,0,6.23,2.68,0.12
2016,1,8,10,28.23,0,5.98,3.45,0.14
2016,1,8,11,30.08,0,5.8,3.44,0.13
2016,1,8,12,31.16,0,5.55,3.44,0.12
2016,1,8,13,31.63,0,5.31,3.41,0.13
2016,1,8,14,31.56,0,5.07,3.48,0.12
2016,1,8,15,30.88,0,4.94,3.57,0.11
2016,1,8,16,29.28,0,4.88,2.98,0.19
2016,1,8,17,24.4,0,4.88,2.74,0.18
2016,1,8,18,22.59,0,4.88,3.18,-999
2016,1,8,19,21.83,0,4.94,3.34,-999
2016,1,8,20,21.13,0,4.88,3.51,-999
2016,1,8,21,20.36,0,4.82,3.52,-999
2016,1,8,22,19.55,0,4.7,3.41,-999
2016,1,8,23,18.69,0,4.58,3.17,-999
2016,1,9,0,18.09,0,4.52,3.05,-999
2016,1,9,1,17.4,0,4.46,3.02,-999
2016,1,9,2,16.76,0,4.39,2.94,-999
2016,1,9,3,16.05,0,4.39,2.89,-999
2016,1,9,4,15.16,0,4.39,2.8,-999
